Id,Beds,Baths,ListingType,Area,Population,Schools,Colleges,Universities,Amenties,Airbnbs,CityName,Price,AveragePrice,AboveBelowAvg
M73000004-25834689,3,3,Single Family,1366,42840,0,0,0,9,25,St. Thomas,648000,659641,B
M73000004-25834740,5,3,Single Family,1950,12966,0,0,0,0,0,Tiny,2949000,1087870,A
M73000004-25835472,2,1,Rental,900,11059,2,0,0,17,7,Hamilton,2150,543702,B
M73000004-25836061,1,1,Condo,655,2794356,0,0,0,3,5,Toronto,449000,553898,B
M73000004-25836205,3,2,Single Family,1420,33232,3,2,0,9,9,Stratford,829000,766153,A
M73000004-25836448,3,3,Single Family,2210,94415,2,0,0,4,6,Niagara Falls,839900,593623,A
M73000004-25836512,4,4,Single Family,2443,17305,0,0,0,0,0,Bracebridge,1995000,1197393,A
M73000004-25836703,3,2,Single Family,1274,94415,0,0,0,0,0,Niagara Falls,899900,593623,A
M73000004-25836732,1,1,Rental,800,9390,0,0,0,2,0,The Blue Mountains,2000,1066799,B
M73000004-25836810,3,2,Single Family,1636,20033,9,0,0,33,26,Port Colborne,659500,658762,A
M73000004-25836942,4,2,Multi-Family,1845,136803,9,0,0,65,31,St. Catharines,724900,648367,A
M73000004-25837019,3,2,Condo,1387,108843,0,0,0,0,0,THUNDER BAY,450000,432568,A
M73000004-25837845,2,1,Single Family,1159,20033,0,0,0,0,0,Port Colborne,506741,658762,B
M73000004-25838511,3,3,Condo,1750,422324,0,0,0,0,0,London,671591,691690,B
M73000004-25838687,3,1,Single Family,1667,12268,3,1,0,16,22,Kincardine,459500,813475,B
M73000004-25838764,4,2,Single Family,1430,55750,7,1,0,58,29,Welland,549900,479693,A
M73000004-25838830,3,3,Single Family,1694,422324,14,1,0,32,30,London,840000,691690,A
M73000004-25838854,4,3,Single Family,2470,32721,4,0,0,2,4,LaSalle,1275000,752855,A
M73000004-25838855,4,3,Single Family,2500,32721,0,0,0,0,0,LaSalle,1250000,752855,A
M73000004-25839007,3,2,Single Family,1438,18615,3,0,0,0,9,Tillsonburg,625000,680068,B
M73000004-25839058,2,2,Condo,988,136803,15,0,0,37,27,St. Catharines,602543,648367,B
M73000004-25839134,3,1,Single Family,913,132485,10,1,0,15,21,Kingston,509900,713186,B
M73000004-25839264,3,4,Single Family,2336,31093,0,0,0,7,4,Centre Wellington,1098000,803730,A
M73000004-25839386,3,3,Single Family,3496,46560,0,0,0,0,3,Quinte West,1545857,610407,A
M73000004-25839418,8,4,Multi-Family,2974,46705,1,1,0,13,7,Woodstock,1370000,659229,A
M73000004-25839977,4,2,Single Family,1979,213759,0,0,0,0,0,Oakville,3490000,953919,A
M73000004-25839998,4,3,Single Family,1270,147829,7,0,0,100,29,Barrie,724900,584311,A
M73000004-25840092,4,2,Multi-Family,1436,46705,1,0,0,2,2,Woodstock,499900,659229,B
M73000004-25840843,2,2,Condo,945,94415,3,0,0,6,5,Niagara Falls,549000,593623,B
M73000004-25841031,2,1,Single Family,850,6067,0,0,0,0,0,Tweed,549000,681753,B
M73000004-25841568,1,1,Condo,481,132485,4,0,1,7,12,Kingston,333000,713186,B
M73000004-25841611,4,3,Single Family,2113,422324,8,0,1,225,52,London,1499900,691690,A
M73000004-25841760,4,2,Single Family,1400,20033,4,0,0,8,23,Port Colborne,599999,658762,B
M73000004-25841828,6,2,Single Family,2000,9390,0,0,0,25,69,The Blue Mountains,1349000,1066799,A
M73000004-25842347,12,5,Multi-Family,4880,121436,3,0,1,94,27,Waterloo,2499000,527104,A
M73000004-25842628,3,1,Single Family,1056,32901,0,0,0,7,32,Fort Erie,449900,669720,B
M73000004-25843135,3,4,Single Family,1842,43326,4,0,0,6,6,Innisfil,989900,869740,A
M73000004-25843850,2,2,Rental,1505,256885,4,0,0,8,6,Kitchener,2500,437374,B
M73000004-25843854,3,3,Single Family,1810,147829,4,0,0,5,11,Barrie,869900,584311,A
M73000004-25843862,5,5,Multi-Family,2895,422324,3,0,0,185,17,London,999900,691690,A
M73000004-25843894,3,2,Single Family,938,94415,11,0,0,14,10,Niagara Falls,539900,593623,B
M73000004-25843912,4,3,Single Family,1488,422324,28,0,1,88,75,London,1299000,691690,A
M73000004-25844089,3,3,Single Family,1650,422324,15,0,0,93,51,London,699900,691690,A
M73000004-25844090,2,2,Condo,1435,422324,27,0,1,73,72,London,747900,691690,A
